"Live","Production"
"Test","Test"
"Off","Inactif"
"Legend","Légende"
"Disabled","Désactivé"
"Extension status","Status de l'extension"
"Test Mode","Mode Test"
"Live Mode","Mode Production"
"Magento &amp; 3rd party version compatibility","Version compatible Magento et partenaires"
"Magento Community Edition version","Version Magento Community Edition"
"Magento Enterprise Edition version","Version Magento Enterprise Edition"
"Support","Assistance"
"Documentation","Documentation"
"Documents regarding the Postcode Magento 2 extension:","Documents relatifs à l'extension code postal de Magento 2:"
"View the user manual. Currently the manual is only available in Dutch.","Consulter le manuel utilisateur. Uniquement disponible en néerlandais."
"User manual","Manuel utilisateur"
"View the complete release notes of the extension. Currently the release notes is only available in Dutch.","Consulter l'intégralité de la note de version de l'extension. Uniquement disponible en néerlandais."
"Full Release Notes","Intégralité de la note de version"
"Extension version","Version de l'extension"
"Postcode Service version","Version du service code-postal"
"This extension is developed by Total Internet Group BV / Postcode Service:","Cette extension est développée par Total Internet Group BV / Postcode Service:"
"Advantages of the Postcode Service","Avantages du service code-postal"
"No analytic data collection","Aucune collecte des données à caractère analytique"
"Super fast","Extrémenent rapide"
"99,9999% Up time","99,9999% de disponibilité"
"Conform GDPR and ISO 27001:2005 norm","Conforme au GDPR et à la norme  ISO 27001:2005"
"Support by phone","Assistance téléphonique"
"24/7 SLA support","Assistance 24/7"
"Can not find the address, please fill in manually","Adresse introuvable, veuillez la renseigner manuellement"
"Housenumber","Numéro"
"Addition","Complément d'adresse"
"Housenumber addition","Ajout de numéro de maison"
"Please select a postcode before filling the street field.","Veuillez sélectionner un code postal avant de renseigner le chanp Adresse"
"Enable Netherlands check","Activer la vérification pour les Pays-Bas"
"Enable Belgium check","Activer la vérification pour la Belgique"
"No results found.","Aucun résultat."
"Cannot find street, is it correct?","Aucun résultat. Veuillez saisir la donnée manuellement."
"Loading zipcodes ...","Chargement des codes-postaux en cours ..."
"Loading streets ...","Chargement des rues en cours ..."
"Countries","Pays"
"Using MagePlaza OneStepCheckout","Utilisation de MagePlaza OneStepCheckout"
"Unexpected error occurred. Please fill in the address details manually.","Une erreur inattendue s'est produite. Veuillez remplir les coordonnées manuellement."
"Please enter a valid zip code and house number.","Veuillez saisir un code postal et un numéro de maison valides."
"Could not perform address validation.","Impossible d'effectuer la validation de l'adresse."
"Address validation temporarily unavailable.","Validation de l'adresse temporairement indisponible."
"Address not found with provided zipcode and house number. If correct, please enter address details manually.","Adresse introuvable avec le code postal et le numéro de maison fournis. Si correct, veuillez saisir les coordonnées manuellement."
